time_collected,air_pressure,radiation,rain,rain_probability,relative_humidity,temperature,wind_direction,wind_speed
2021-04-21 18:00:00,1018.8,291.2,0,1,58.1,12.1,65.2,5.3
2021-04-21 19:00:00,1019.2,169.5,0,1,59.8,10.6,64.3,4.7
2021-04-21 20:00:00,1020,51.4,0,1,63.7,8.5,71,3.8
2021-04-21 21:00:00,1021,0.2,0,1,67.6,7.1,70.2,4
2021-04-21 22:00:00,1021.8,0,0,1,68.3,6.2,65.6,4.6
2021-04-21 23:00:00,1022.5,0,0,1,71.6,5.2,63.3,4.4
2021-04-22 00:00:00,1022.8,0,0,1,74.1,4.6,59.1,4
2021-04-22 01:00:00,1023,0,0,1,75.7,4.1,56.9,3.8
2021-04-22 02:00:00,1022.9,0,0,1,77.8,3.7,53.5,3.5
2021-04-22 03:00:00,1022.8,0,0,1,81,3.2,50.4,3.5
2021-04-22 04:00:00,1023,0,0,1,82.1,3.2,49.7,3.8
2021-04-22 05:00:00,1023.2,0,0,1,83,3.1,52.4,3.6
2021-04-22 06:00:00,1023.5,0.5,0,1,85,2.8,53.2,3.3
2021-04-22 07:00:00,1024,53.8,0,1,81.7,3.8,52.3,4
2021-04-22 08:00:00,1024.4,178.8,0,1,75.4,5.4,58.2,4.4
2021-04-22 09:00:00,1024.7,331.7,0,1,67.5,6.9,73,5.1
2021-04-22 10:00:00,1024.8,494.3,0,1,62.3,8.2,74.4,4.7
2021-04-22 11:00:00,1025,640.5,0,1,57.8,9.5,75.8,4.8
2021-04-22 12:00:00,1025,744.5,0,1,54.1,10.5,79.8,4.8
2021-04-22 13:00:00,1025,796.6,0,1,51.2,11.3,82.4,4.7
2021-04-22 14:00:00,1024.8,838.3,0,1,49.2,12.1,88.3,3.5
2021-04-22 15:00:00,1024.7,785.8,0,1,49.2,12.1,88.4,3.5
2021-04-22 16:00:00,1024.5,684.2,0,1,49.2,11.9,87.2,3.5
2021-04-22 17:00:00,1024.3,522.5,0,1,49.9,11.4,89.8,4.1